LOCATION,SITE_NAME,SHORT_NAME,LATITUDE,LONGITUDE,CH4MAX1H,CH4DLYAV,COMAX8N,COMXN8N,COMAX8O,COMAX1HR,CODLYAVG,H2SDLYAV,NMHCMX1H,NMHCDAVG,NO2MAX1H,NO2DLYAV,NOMAX1HR,NODLYAV,NOXMAX1H,NOXDLYAV,OZMAX1HR,OZHMX1HR,OZMAX8O,OZH1MX8O,OZDLYAV,OZMX8ST,OZHMX8ST,SO2MAX1H,SO2MX24N,SO2MX24O,SO2DLYAV,SULFURMX,THCMAX1H,THCDLYAV,TRSMAX1H,DAYOFWK
2001,Citrus Heights-Sunrise Blvd,Citrus_Hghts,38.6988,-121.2711,1.921959184,1.699092759,1.435812872,1.42461527,1.502237903,2.448005093,0.828109508,NA,0.737931034,0.407807931,0.041555317,0.02011989,0.079827071,0.021242067,0.113693462,0.041250306,0.051462951,11.84272746,0.040459717,9.893423557,0.024937503,0.040923874,9.893635018,0.003246073,0.000802711,0.001077212,0.00075267,NA,2.605641972,2.113489212,NA,4.001256018
2008,El Capitan Beach,El_Capitan_B,34.4622,-120.0258,NA,NA,NA,NA,NA,NA,NA,0.00068997,NA,NA,0.021787095,0.008927009,0.015510451,0.00307046,0.035167723,0.012029623,0.050017021,12.24951697,0.043250323,9.456926766,0.031375241,0.043724682,9.466334625,0.001017097,0.00027902,0.000362556,0.00027886,NA,2.079051122,1.831331627,0.000640526,4.002196595
2011,Eureka-Fort Avenue,Eureka-FtAve,40.8019,-124.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026320755,8.29245283,0.022528302,10.4245283,0.017202105,0.022839623,10.39622642,0.002083333,0.000188095,0.000306316,0.000215,0.003173077,2.37254902,2.023317843,NA,3.990654206
2012,Fresno-Cal State #2,Fresno-ClSt2,36.8136,-119.7402,NA,NA,1.798955189,1.781762017,1.86793967,2.732195409,1.229761919,NA,NA,NA,0.036843575,0.018937586,0.051415333,0.012907996,0.082529511,0.032158237,0.068497867,11.93784278,0.056097753,10.20491803,0.036643659,0.056558591,10.20157863,NA,NA,NA,NA,NA,NA,NA,NA,3.997994844
2013,Fresno-Drummond Street,Fresno-Drmnd,36.7055,-119.7413,NA,NA,1.045181922,1.038413073,1.109874986,1.570415954,0.695194872,NA,NA,NA,0.038277253,0.020317872,0.061374847,0.015723238,0.092711355,0.036041094,0.056566579,13.44660514,0.04689867,10.2564018,0.028073974,0.047391472,10.24925816,NA,NA,NA,NA,NA,NA,NA,NA,4.001839827
2016,Carmel Valley-Ford Road,Carm_Val-Frd,36.4819,-121.7333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041904052,11.89353884,0.036625702,9.598142288,0.02686707,0.037089007,9.59722364,NA,NA,NA,NA,NA,NA,NA,NA,4.000612245
2029,Scotts Valley-Skypark Airport,Scotts_V-Sky,37.0508,-121.9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044097938,11.60180412,0.035270619,9.827319588,0.020557556,0.035735825,9.809278351,NA,NA,NA,NA,NA,NA,NA,NA,4.005154639
2031,Lancaster,Lancaster,34.7122,-118.1391,2.297283702,1.918282998,1.180045911,1.187227322,1.2542849,2.3557849,0.660256926,NA,0.504930966,0.162058057,0.034835134,0.015260512,0.051687845,0.011490977,0.081413193,0.026850023,0.072320154,12.06452499,0.058453396,10.23013473,0.039270627,0.058905417,10.23398405,NA,NA,NA,NA,NA,2.689346734,2.069541015,NA,4
2032,Visalia-N Church Street,Visalia-NChu,36.3325,-119.2908,3.059829491,2.153441662,1.146091657,1.131818162,1.193805873,1.906898025,0.749020182,NA,0.773650926,0.26729572,0.039348895,0.019398369,0.050167316,0.011452508,0.08309847,0.030857724,0.060537553,13.47056653,0.050601089,10.09716711,0.03002069,0.051081757,10.09569069,0.003630033,0.000933679,0.001253925,0.000925531,NA,3.522482471,2.395805678,NA,3.999908676
2040,San Diego-Overland Avenue,Sn_Dieg-Ovrl,32.8364,-117.1289,2.49942029,1.892559525,1.199170791,1.200432891,1.222167989,1.729935917,0.878821025,NA,0.424517766,0.195953817,0.040350808,0.021689588,0.059709332,0.012211472,0.092567345,0.033617769,0.054224175,11.68861556,0.044166821,9.43134715,0.028830443,0.044648594,9.427646188,0.00723279,0.002742418,0.003302258,0.002486744,NA,2.727256383,2.041682087,NA,4.000092022
2044,Vandenberg Air Force Base-Watt Road,Van_AFB-Watt,34.7808,-120.6063,NA,NA,0.142049581,0.142208293,0.146233954,0.174326059,0.111959243,NA,NA,NA,0.006504334,0.002066651,0.003678652,0.000564961,0.009102342,0.002521813,0.04855552,11.53674833,0.044561823,9.871574251,0.036484128,0.044986616,9.875398343,0.000987581,0.000354081,0.000412771,0.000346607,NA,1.876002394,1.780992663,NA,4.00365408
2045,Hawthorne,Hawthorne,33.9208,-118.3703,NA,NA,2.473111875,2.472235066,2.651146334,3.76308795,1.31558235,NA,NA,NA,0.05833812,0.030678944,0.181234885,0.052666689,0.227777811,0.083365188,0.047753435,12.78031661,0.037666667,10.68996416,0.023450486,0.03815905,10.6901135,0.0107762,0.003996029,0.004455512,0.003519469,NA,NA,NA,NA,3.999851279
2046,Merced-Merced College,Merced-Cllge,37.3019,-120.4819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08205298,13.64900662,0.070304636,10.44370861,0.045086395,0.07081457,10.45033113,NA,NA,NA,NA,NA,NA,NA,NA,4.013245033
2050,Los Alamitos-Air Station,Ls_Alamts-AS,33.7958,-117.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062977528,11.78932584,0.043800562,8.994382022,0.022760294,0.044289326,8.985955056,0.028066914,0.010749462,0.011343446,0.009238922,NA,NA,NA,NA,4.002777778
2051,Monterey-APCD,Montery-APCD,36.6,-121.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0225,0.009520305,0.033842025,0.007550609,0.05148773,0.017062594,0.037491456,8.900205058,0.032290499,9.49897471,0.02361161,0.032660287,9.504442925,NA,NA,NA,NA,NA,NA,NA,NA,4.000645161
2061,Sequoia-Lookout Point,Sequoia-LOPt,36.4286,-118.7677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070847458,12.56497175,0.061906077,10.37569061,0.048713333,0.062337017,10.37016575,NA,NA,NA,NA,NA,NA,NA,NA,3.967032967
2069,Sequoia Natl Park-Giant Forest,Seq_NP-Giant,36.5691,-118.7738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083785714,13.58571429,0.073929078,10.94326241,0.06097807,0.074375887,10.91489362,NA,NA,NA,NA,NA,NA,NA,NA,3.964539007
2070,Mountain View-Cuesta,Mtn_View-Cst,37.3725,-122.0786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039980022,11.92422606,0.031192405,9.789236861,0.018190979,0.031663607,9.784917207,NA,NA,NA,NA,NA,NA,NA,NA,4.004849138
2071,San Bernardino-East 3rd,S_Brnrdn-3rd,34.1072,-116.7238,NA,NA,1.694773333,1.681054534,1.817725428,2.696892834,1.046464807,NA,NA,NA,0.069766484,0.039691285,0.079189003,0.02137091,0.129697595,0.061078701,0.096509824,12.98190279,0.071903409,9.79803719,0.034105994,0.072380165,9.79338843,0.005916101,0.001636423,0.002148878,0.001476138,NA,3.383920705,2.437200815,NA,3.998977505
2077,Redlands-Dearborn,Redlands-Drb,34.0588,-117.1477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075040833,13.36857143,0.06025125,9.787074506,0.035172612,0.060737205,9.793382528,NA,NA,NA,NA,NA,NA,NA,NA,4.000833036
2084,Merced-1st Street,Merced-1st,37.302,-120.482,NA,NA,1.376576923,1.422915385,1.429092308,2.407692308,0.846453846,NA,NA,NA,0.041153846,0.021952025,0.114846154,0.036123976,0.149230769,0.058783625,0.04025,10.96666667,0.030478992,9.554621849,0.020938806,0.030882353,9.43697479,NA,NA,NA,NA,NA,2.88976378,1.965539055,NA,3.977099237
2086,Turlock-Monte Vista #1,Turlock-MV#1,37.5227,-120.8666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030229885,0.017785663,0.045057471,0.01217369,0.068850575,0.029980238,0.069975021,13.45295587,0.057584372,10.36907731,0.032668935,0.058059435,10.36783042,NA,NA,NA,NA,NA,NA,NA,NA,4.010761589
2088,Ventura-Emma Wood State Beach,Emma_Wood_SB,34.2805,-119.3152,4.172069465,2.346816614,NA,NA,NA,NA,NA,NA,0.613402985,0.187635537,0.028476713,0.011569592,0.039491877,0.008939374,0.063717152,0.020604326,0.051641373,13.21465685,0.044225716,10.07718994,0.028184054,0.044708044,10.07458803,NA,NA,NA,NA,NA,5.474444444,2.732698083,NA,4.001395449
2091,Vandenberg Air Force Base-Herado Avenue,Van_AFB-Hera,34.7094,-119.4652,NA,NA,0.104209326,0.105923316,0.109915026,0.351295337,0.041059067,NA,NA,NA,0.01164878,0.003379,0.004478049,0.000347077,0.015112195,0.003723785,0.04595724,9.465500486,0.041633625,9.630709427,0.0341143,0.041995141,9.654033042,0.000510783,6.86E-05,0.00010522,6.62E-05,NA,NA,NA,NA,4.002898551
2092,Santa Barbara-State,S_Barbr-Stat,34.423,-119.703,NA,NA,2.398396413,2.402282511,2.526684305,3.728251121,1.464333632,NA,NA,NA,0.04494575,0.025180511,0.136473779,0.033651726,0.17164557,0.058779959,0.035355839,11.10127737,0.025977148,9.641681901,0.015445238,0.026434186,9.668190128,0.006597353,0.001781299,0.002260786,0.001645217,NA,3.660107335,2.504280886,NA,3.999106345
2094,Stockton-Hazelton Street,Stockton-Haz,37.9516,-121.2688,2.464530457,1.883385438,1.067071289,1.063107529,1.122468802,1.725125722,0.700828832,NA,1.095689655,0.575207759,0.037165015,0.021612078,0.078954899,0.021891744,0.109681661,0.043499041,0.044827415,12.93752349,0.035302293,9.917214809,0.019875459,0.035771472,9.897293742,0.007853403,0.002584877,0.003140195,0.002360579,NA,3.029873418,2.200414253,NA,4.001650165
2097,San Luis Obispo-Goldtree,S_L_O-Goldtr,35.283,-120.659,1.775250836,1.541689264,NA,NA,NA,NA,NA,NA,NA,NA,0.024138889,0.009217262,0.014072022,0.001985989,0.036,0.011206301,0.037011173,9.511173184,0.031790503,9.497206704,0.024254286,0.032192737,9.536312849,0.004931129,0.001002181,0.001434167,0.000891625,NA,1.819666667,1.5640985,NA,3.99726776
2102,Pittsburg-10th Street,Pittsbg-10th,38.0169,-121.8836,2.329803107,1.976414874,0.978457566,0.980424084,1.007845227,1.38826153,0.721672329,NA,NA,NA,0.027465778,0.015263691,0.044391992,0.011415317,0.076149386,0.02981196,0.043489483,12.25592193,0.03553876,9.857278241,0.023589232,0.036013931,9.851686884,0.006702846,0.001975782,0.002440507,0.001802457,NA,2.543037482,2.067628808,NA,3.999810821
2105,Santa Rosa-5th Street,S_Rosa-5th,38.4436,-122.7091,2.097335257,1.810613965,1.029776665,1.026403965,1.051774848,1.534840758,0.745077937,NA,NA,NA,0.026493184,0.013883132,0.051610741,0.013253915,0.079981928,0.028766858,0.033813449,11.07742555,0.027285604,10.078128,0.01771431,0.027758409,10.09484913,NA,NA,NA,NA,NA,2.312438133,1.920503076,NA,4.000191589
2109,Colusa-Fairgrounds,Colusa-FairG,39.2025,-122.0177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053706538,12.92768906,0.045435789,10.24631579,0.027942395,0.045913083,10.25323308,NA,NA,NA,NA,NA,NA,NA,NA,4.007514277
2114,Parlier,Parlier,36.5975,-119.5036,NA,NA,0.836777707,0.826929098,0.87496834,1.133738407,0.568080588,NA,0.189000635,0.079815949,0.024095494,0.012491683,0.014369068,0.002958362,0.034264645,0.015401588,0.06651295,13.7715101,0.055559201,10.19367936,0.033598026,0.056054647,10.19609349,NA,NA,NA,NA,NA,3.0904,2.4501312,NA,4.00206724
2115,Chico-Manzanita Avenue,Chico-Manznt,39.7575,-121.8422,NA,NA,0.861498923,0.868452595,0.905518453,1.404786437,0.574008055,NA,NA,NA,0.027972478,0.013089608,0.038576877,0.00863426,0.061240796,0.021710725,0.045014352,12.54898148,0.037840404,10.38579103,0.026077027,0.03831734,10.37847351,8.22E-05,4.89E-06,9.39E-06,4.74E-06,NA,2.308718585,2.031436404,NA,4.000183385
2123,North Highlands-Blackfoot Way,N_High-Blckf,38.7122,-121.3811,NA,NA,0.95223138,0.954537976,1.035519014,1.492795719,0.635702178,NA,NA,NA,0.029984753,0.013582874,0.042554479,0.009377816,0.068422914,0.023049331,0.050863727,13.02672011,0.041749905,10.11322913,0.024468688,0.0422317,10.11856653,0.003142292,0.001620059,0.001781914,0.001536484,NA,NA,NA,NA,4.000737667
2125,Redwood City,Redwood_City,37.4824,-122.2033,2.451582303,1.999486153,1.356955029,1.367390474,1.37826849,2.203743806,1.001420352,NA,NA,NA,0.031443361,0.018336893,0.059749235,0.018951255,0.091434652,0.040716448,0.032815773,11.365337,0.026411279,9.928748281,0.017285015,0.026864466,9.913159101,NA,NA,NA,NA,NA,2.706210179,2.134937239,NA,4.000091283
2127,Clearlake Highlands-Fire Department,Clr_Lk_Hghln,38.956,-122.647,NA,NA,1.022585227,1.020880682,1.03521875,1.340909091,0.614653409,NA,NA,NA,0.016172107,0.007310458,0.015192878,0.005475147,0.026617211,0.012761003,0.039942693,9.398280802,0.03512894,9.747851003,0.026540373,0.03547851,9.716332378,NA,NA,NA,NA,0,NA,NA,NA,4.005665722
2131,Bakersfield-Chester Street,Baker-Chestr,35.3578,-119.019,3.137447284,2.221484875,1.80316041,1.781097018,1.940351769,3.038870625,1.132250048,NA,NA,NA,0.05868606,0.030499683,0.131762593,0.037802228,0.178761514,0.068338409,0.060249122,11.87612173,0.050046316,9.601328904,0.027490866,0.050513191,9.612077389,0.014255096,0.005194712,0.005875941,0.004711741,NA,4.326573092,2.842314044,NA,4.002301055
2137,Eureka-Fort Humboldt,Eureka-FtHmb,40.7755,-124.1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02062701,7.840836013,0.01628,10.9856,0.009906076,0.0167136,11.0256,NA,NA,NA,NA,NA,NA,NA,0.002143158,3.996891192
2139,Quincy-S Redburg Avenue,Quincy-SRedb,39.9369,-120.9461,NA,NA,0.996775623,0.987611111,1.037770083,1.396121884,0.565933518,NA,NA,NA,0.01650838,0.008297781,0.015320334,0.0030481,0.029078212,0.01134405,0.047493036,11.75766017,0.040707521,10.03899721,0.028122981,0.041153203,10.02506964,NA,NA,NA,NA,NA,NA,NA,NA,4.005540166
2143,Davis-UCD Campus,Davis-UCD,38.5352,-121.773,NA,NA,0.350413989,0.34900654,0.367013057,0.513851831,0.266650014,NA,NA,NA,0.021264848,0.009779457,0.023687375,0.005060176,0.041666823,0.014757729,0.048523125,13.47974822,0.040269767,10.01805746,0.023944132,0.040749248,10.00615595,NA,NA,NA,NA,NA,NA,NA,NA,4.002436383
2146,Oildale-3021 Manor Street,Oildale-3021,35.435,-118.9875,6.297282609,3.04701413,NA,NA,NA,NA,NA,NA,NA,NA,0.047746999,0.025316246,0.055706371,0.015267695,0.093584559,0.040373281,0.058837209,11.88888889,0.048605331,9.75322442,0.029486179,0.049023216,9.778159931,0.03819701,0.015001852,0.016558296,0.013321398,NA,9.10443299,4.111517433,NA,4.002544529
2147,Ojai-1768 Maricopa Highway,Ojai-1768Mar,34.448,-119.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021944969,0.011677589,0.019293239,0.002447807,0.038428852,0.014081489,0.062984289,11.94840764,0.053700255,9.689223589,0.034860335,0.054181162,9.694526941,NA,NA,NA,NA,NA,NA,NA,NA,4.004231013
2148,Santa Maria-705 E Main Street,S_Maria-705E,34.9583,-120.4291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040891239,10.06042296,0.035060332,9.585218703,0.02336789,0.035482655,9.586726998,0.013072289,0.002570818,0.003238462,0.002164639,NA,NA,NA,NA,4
2149,Norco-Norconian,Norco-Norcnn,33.9215,-117.5722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077985976,12.63807983,0.060341371,9.93053806,0.030238611,0.060824366,9.928918481,NA,NA,NA,NA,NA,NA,NA,NA,4.003774942
2156,Sequoia Natl Park-Ash Mountain #2,Seq_NP-Ash#2,36.4988,-118.8238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068247797,12.58268533,0.060986522,10.29548989,0.04870083,0.06147071,10.29134266,NA,NA,NA,NA,NA,NA,NA,NA,4.004140787
2159,Newhall,Newhall,34.385,-118.53,2.447297297,1.82007277,2.401964912,2.428596491,2.421701754,3.649122807,1.821877193,NA,0.819594595,0.429295,0.032321429,0.017669608,0.083859649,0.025951481,0.105178571,0.043917255,0.094593781,12.12637914,0.070402207,9.729187563,0.032679896,0.070879639,9.728184554,0.011333333,0.005395918,0.006462712,0.004939167,NA,3.073648649,2.249259122,NA,4.002006018
